sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,Z,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates
125,Galičnjak,Croatia,10.4.2007.,2007-04-10,1 juv,1,Dysderidae,Harpactea,sp.,Harpactea sp.,,42.720118,17.67071,,,#N/A
126,Špilja u Solinama,Croatia,11.4.2007.,2007-04-11,1 juv,1,Dysderidae,Folkia,sp. 5,Folkia sp. 5,17,42.768021,17.377062,Tb,deep cave,#N/A
127,"Mala špilja, Blato",Croatia,12.4.2007.,2007-04-12,1 juv,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.764498,17.471054,Tb,deep cave,#N/A
128,Male ponte,Croatia,9.4.2007.,2007-04-09,1 juv,1,Dysderidae,Folkia,sp. 5,Folkia sp. 5,,42.761389,17.430786,Tb,deep cave,#N/A
129,Špilja kod Nerezinog dola,Croatia,7.4.2007.,2007-04-07,1 juv,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.758378,17.436094,Tb,deep cave,#N/A
130,"Mala špilja, Blato",Croatia,12.4.2007.,2007-04-12,1 juv,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.764498,17.471054,Tb,deep cave,#N/A
131,Male ponte,Croatia,13.4.2007.,2007-04-13,1f,1,Dysderidae,Folkia,sp. 5,Folkia sp. 5,,42.761389,17.430786,Tb,deep cave,#N/A
133,Movrica,Croatia,8.4.2007.,2007-04-08,1 f,1,Linyphiidae,Bathyphantes,sp. 1,Bathyphantes sp. 1,,42.752604,17.551145,Tx,,#N/A
134,Špilja u Solinama,Croatia,11.4.2007.,2007-04-11,1 f,1,Familia x,Gen.,sp.,Gen. sp.,17,42.768021,17.377062,,,#N/A
135,Male ponte,Croatia,9.4.2007.,2007-04-09,1 f,1,Linyphiidae,Bathyphantes,sp. 1,Bathyphantes sp. 1,,42.761389,17.430786,Tx,,#N/A
136,"Mala špilja, Blato",Croatia,12.4.2007.,2007-04-12,1 f,1,Linyphiidae,Bathyphantes,sp. 1,Bathyphantes sp. 1,,42.764498,17.471054,Tx,,#N/A
139,Ostaševica,Croatia,28.4.2008.,2008-04-28,1m,1,Dysderidae,Folkia,inermis,Folkia inermis,220,42.748959,17.544404,Tb,deep cave,#N/A
140,Ostaševica,Croatia,28.4.2008.,2008-04-28,1m,1,Agelenidae,Histopona,bidens,Histopona bidens,220,42.748959,17.544404,tb,deep cave,#N/A
141,Jama Međugrađen,Croatia,30.4.2008.,2008-04-30,3 juv,3,Agelenidae,Histopona,bidens,Histopona bidens,,42.737934,17.55671,tb,deep cave,#N/A
142,Jama Međugrađen,Croatia,30.4.2008.,2008-04-30,1f,1,Dysderidae,Folkia,inermis,Folkia inermis,,42.737934,17.55671,Tb,deep cave,#N/A
143,Vilina špilja-Izvor Omble,Croatia,1.11.2008.,2008-11-01,"2m, 1 juv",3,Leptonetidae,Sulcia,sp. 2,Sulcia sp. 2,137,42.67716,18.136236,Tb,deep cave,#N/A
144,Močiljska špilja,Croatia,1.11.2008.,2008-11-01,1f,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,410,42.689061,18.071906,tf,deep cave,#N/A
146,Debela ljut,Croatia,31.10.2008.,2008-10-31,"1f, 2 juv",3,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,258,42.717699,18.022036,tf,deep cave,#N/A
147,Debela ljut,Croatia,31.10.2008.,2008-10-31,1 f,1,Linyphiidae,Gen.,sp. X,Gen. sp. X,,42.717699,18.022036,,,#N/A
148,Banova ljut,Croatia,31.10.2008.,2008-10-31,1 juv m,1,Nesticidae,Kryptonesticus,eremita,Kryptonesticus eremita,,42.724023,18.023649,tf,deep cave,#N/A
152,Jama Zadubravica,Croatia,3.11.2008.,2008-11-03,"1 juv m, 1f",2,Leptonetidae,Sulcia,sp. X,Sulcia sp. X,,42.771666,17.936425,,,#N/A
