sample ID,locality,country,Collection date,eventDate,Number and gender,individualCount,Family,Genus,species,scientific name,elevation,decimalLatitude,decimalLongitude,Troglomorphy,habitat,joint coordinates,unique species count,deepest air temperature,média temperature,Temp anual,Temp anual.1,TempRange,Prec,land_use_code,LGM_dist_km,media humidity,deepest air humidity,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
5027,Jezero,Croatia,1.11.2016.,2016-11-01,1m,1,Linyphiidae,Micrargus,sp.,Micrargus sp.,964,42.580.381,18.356.073,,,,8,,"7,567","12,93216705","12,93216705","24,86800003",1208,29,"104,2091301","96,5",,1,0.5,1,20.5,nan,12
5032,Tučepska vilenjača,Croatia,24.6.2017.,2017-06-24,"2m, 1f, 1juvm",4,Leptonetidae,Sulcia,sp. 4,Sulcia sp. 4,1242,43.286.465,17.083.638,Tb,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
5033,Tučepska vilenjača,Croatia,24.6.2017.,2017-06-24,"2f, 1juv",3,Leptonetidae,Sulcia,sp. 4,Sulcia sp. 4,1242,43.286.465,17.083.638,Tb,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
5034,Tučepska vilenjača,Croatia,24.6.2017.,2017-06-24,1juv,1,Agelenidae,Histopona,sp.,Histopona sp.,1242,43.286.465,17.083.638,,,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
5035,Tučepska vilenjača,Croatia,24.6.2017.,2017-06-24,1f,1,Pholcidae,Stygopholcus,absoloni,Stygopholcus absoloni,1242,43.286.465,17.083.638,,deep cave,,8,"10,6","10,731","9,67800045","9,67800045","24,96000099",926,26,"67,32747088",,,6,0.8,1,nan,28,35
5036,Miličevića pećina,Croatia,5.11.2016.,2016-11-05,1juv,1,Dysderidae,Stalagtia,sp. 4,Stalagtia sp. 4,527,43.534.495,16.564.289,Tb,deep cave,,2,,"12,2","14,35266685","14,35266685","25,30800056",833,33,"106,1704139",,,,,,,,
5037,Miličevića pećina,Croatia,5.11.2016.,2016-11-05,"1f, 1juvf, 2juv",4,Leptonetidae,Sulcia,sp. 1,Sulcia sp. 1,527,43.534.495,16.564.289,Tf,deep cave,,2,,"12,2","14,35266685","14,35266685","25,30800056",833,33,"106,1704139",,,,,,,,
5038,Miličevića pećina,Croatia,5.11.2016.,2016-11-05,"1f, 1juvf, 3 juv",5,Leptonetidae,Sulcia,sp. 1,Sulcia sp. 1,527,43.534.495,16.564.289,Tf,deep cave,,2,,"12,2","14,35266685","14,35266685","25,30800056",833,33,"106,1704139",,,,,,,,
5040,Miličevića pećina,Croatia,5.11.2016.,2016-11-05,"2f, 3juvm, 2juv",7,Leptonetidae,Sulcia,sp. 1,Sulcia sp. 1,527,43.534.495,16.564.289,Tf,deep cave,,2,,"12,2","14,35266685","14,35266685","25,30800056",833,33,"106,1704139",,,,,,,,
5041,Miličevića pećina,Croatia,5.11.2016.,2016-11-05,1juv,1,Dysderidae,Stalagtia,sp. 4,Stalagtia sp. 4,527,43.534.495,16.564.289,Tb,deep cave,,2,,"12,2","14,35266685","14,35266685","25,30800056",833,33,"106,1704139",,,,,,,,
