locality,Main entrance width (Dimenzije glavnog ulaza (širina)),Main entrance hught (Dimenzije glavnog ulaza (visina)),Number of entrances (Broj ulaza),Cave length (Duljina (m)),Horizontal cave length (Horizontalna duljina (m)),Cave depth (Dubina (m))
Banditska jama,"1,9","2,5",1,,44,10
Koludrova špilja,3,"1,5",1,49,"43,6","13,7"
Vranjačka spilja,3,"2,2",1,22,12,0
Šogi i Žohari,"5,3","4,1",1,31,24,3
Jama pod Počiteljskim vrhom,2,3,1,,53,123
Vočnjak - 30. mart,5,2,1,87,40,48
Tanki Ratac,,,1,,,
Vrelić,2,1,1,270,266,6
Plavinka,1,"0,6",1,50,13,32
Tuncova pećina,6,4,1,,5,"0,2"
Zečica,11,6,1,428,73,355
Jama u Vidorni,5,5,1,60,22,53
Jama u Tepljuhu,4,4,1,11,8,7
Pobojište III,6,3,1,28,16,14
Jama mali medenko ,"0,5","0,7",1,,"3,5",12
Međ' Japaginama jamica,2,"1,5",1,,5,7
Beli Medžed,5,6,1,123,73,50
Mini me,"0,5","0,5",1,"9,6",0,"9,6"
Jama kod platoa 2,3,"2,8",1,19,16,8
Karišnica,10,2,1,133,127,6
Bezdanica u Bariloviću,5,5,1,,243,34
Jama za Vučkom,2,"1,5",1,16,10,12
Velika kraj BG11,25,15,1,77,33,66
Pukotina špilja,"0,5","3,3",1,,7,"6,5"
Gluva pećina,1,1,1,47,36,13
Karlova špilja,"0,3","0,4",1,"8,5","8,5",0
Mala golubinka,"0,4","0,2",1,12,5,11
Osinja jama,5,3,1,104,24,83
Otkopana jama,"0,5","0,5",1,10,3,8
Škarinka,13,7,1,148,74,79
Jama na putu za feratu,3,1,1,13,6,11
Oro muškarci,6,8,1,,8,12
Jama Lama Ljama,3,5,1,11,4,11
Golubova jama,3,1,1,95,77,19
Kožni remen,2,"2,5",1,65,28,"34,5"
Brlog,1,2,1,229,195,20
Guzobris,3,1,1,,8,"14,8"
Pećina Vrulja,4,1,1,15,14,4
6 minuta,1,2,1,"34,4","19,5",20
Jama u Rabuzinovoj šumi,2,1,1,37,19,20
Zingarela,38,8,1,82,76,14
Jama pored pojate ,"0,5","0,5",1,42,"3,5",38
Golubinka pod Plančanikom,11,3,1,25,25,7
Trojita,5,5,1,183,64,92
Jama kraj mosta za Žakalj,6,3,1,,10,18
Beezzek,"1,8","1,5",1,"6,6","2,2","6,2"
Jama pod Sinji kuk,2,"1,8",1,18,8,15
Letigurtna,"1,8","2,5",1,109,27,66
Ledeni prsti,3,4,1,10,5,9
Poskokova jama,5,2,1,"16,2",6,"12,5"
Ledena špilja,30,1,1,,110,47
Kuhlschrank,"3,2","3,1",1,"9,5","8,5",0
Špiljica uz cestu,"0,7",1,1,9,7,"2,5"
Snjeguljica,"0,7","0,8",1,,1,"8,5"
Šutovačka pećina,,,1,,,
Kranjska pećina,6,5,1,53,48,0
Prdara 1,3,4,1,10,7,7
Gršina jama,"3,5","1,5",1,86,"21,6","73,1"
Jama 202,9,3,1,"17,3","6,5","15,3"
Kaverna na Vratima Jadrana,"0,5","0,5",1,6,6,6
Jama u Budišinu,1,1,1,14,7,11
Beli tigar,"1,8","3,5",1,,11,9
Jama u Klekovim glavicama,7,4,1,80,45,44
Lisina mala,5,10,1,47,13,44
Staje 15,,,1,,,
Spilja u Bačvi,7,"0,9",1,,17,12
Vilinska špilja,2,1,1,,44,6
Špageti,4,3,1,,5,"7,9"
Pećina Lazinina 2,1,"0,6",1,78,60,23
Jama pod Prčnom ogradom,5,5,1,,46,19
Jama na Dugom bregu obr Gabrovice,1,1,1,10,4,8
Hrstička uspaljenica,"8,4","5,2",1,15,8,12
"Jama kod Lukine jame br. 5, Zidna jama",9,17,1,"37,1","20,5","20,8"
Golubnjača,5,3,1,51,49,17
Motorola đot,12,8,1,"52,5",18,"34,5"
Jama iznad jame Tam-tam,4,3,1,43,16,30
Špilj,1,5,1,10,10,3
Podosojna peć,,,1,,,
Cincilator,"0,5",1,1,"21,9","18,7",3
Zrnići jama 2,,,1,9,9,9
Tri-nula,2,3,1,"29,5","23,6",0
M.U.V.A.,"3,7","3,3",1,,"6,8","2,6"
Kaćunko,4,"2,5",1,"11,8","3,3",11
Toranj,2,1,1,22,10,18
Cvetličanka,"0,6","0,6",1,"5,6","5,5","0,7"
Samostalna,"3,4","1,3",1,15,10,13
Tam-tam,1,"1,5",1,69,18,61
Prva prava,3,5,1,23,46,34
Pseudocepinka,2,"1,3",1,"8,6",7,2
Špilja na Kamenjaku,"1,3","0,8",1,"12,3",12,0
Razbijena kupaonica,2,"0,5",1,18,13,10
Trpeza,6,5,1,17,16,0
Dvostruka - B,4,1,1,6,"5,9","0,5"
Bič božji,9,4,1,185,139,22
Kaverna kod škole u Putičanjima,1,"0,4",1,44,12,39
Crnopica,10,5,1,,40,105
Druga prva jama,5,2,1,"31,9","10,4","22,2"
Dentjera,15,30,1,"127,2",80,29
Drinovčuša,1,3,1,98,17,95
Topla pećina,1,2,1,,206,49
Salopekova špilja,3,"0,6",1,,51,1
Jama podno Crnog vrha,"1,1","0,9",1,21,11,14
Petrčeva jama,4,2,1,,10,57
Jama kod Korita,4,3,1,,5,6
Bračne vode,,,1,41,41,0
Polanski devijator,"1,5","1,5",1,181,121,64
Bubeš 2,"0,5","0,8",1,70,5,66
Katinovac,"1,4","1,4",1,111,24,104
Pećina Lozari,9,3,1,,23,"0,5"
Špilja sa sovom,9,9,1,65,35,19
Jama nad Dolić,1,"1,5",1,28,14,22
Bela jama,"12,5",10,1,43,28,37
Jama Mirela,5,8,1,,7,17
Perčevica,27,8,1,,75,0
Koštana špilja,1,2,1,,20,7
Špilja u Solunu,7,7,1,24,23,0
Kunić vrelo,1,"1,5",1,,211,11
Rođakova jama,"1,5",3,1,28,15,15
Pećina pul donje šterne,5,3,1,43,40,15
Taka mala,"0,5",2,1,26,16,19
Buzdovanka,"2,8","3,7",1,37,9,"29,6"
Jama pod Velji vrh,1,2,1,,90,41
GP,"1,5","2,5",1,28,21,20
Jama kod Borovog groba,3,1,1,705,660,55
Vuglovščak,"1,4","0,8",1,"12,5","12,5",0
Mala rođendanska     ,"6,2","0,9",1,"29,7","19,8","21,9"
Biokovka,10,5,1,545,190,389
Grustišica,,,1,,,
Todorovića špilja,7,2,1,26,26,0
Hrvatska stotka,15,5,1,,29,106
DIZ 1,"5,4","2,3",1,7,3,6
Šumska jama,"1,2","3,4",1,"20,2","9,7","14,1"
Bombastična,2,1,1,"28,6",22,13
Spilja u Lukama,1,"0,7",1,52,42,6
Smdljivog Martina jama,"4,5","2,5",1,"8,7","8,1","5,3"
Jama na kraj Zaluke,2,"1,5",1,,6,10
Jama u Lađenoj gredi,"1,2",8,1,70,"41,5","41,5"
Jama s Nijemcima,6,"2,5",1,77,65,34
Jama iznad stare cijevi tunela Učka,"0,5","0,3",1,24,9,22
Mulčeva špilja,"2,1","1,8",1,"6,6","6,3","0,6"
Jama Marija na Krasu,3,"1,5",1,"20,4","3,8","17,5"
Staje 18,,,1,,,
Ćosina pećina,10,7,1,15,15,0
Ključanica,"0,7","0,7",1,,"6,5",0
Polonina,"2,3","2,3",1,10,5,8
Jama iznad Vrulja,,,1,,,
Plisuja II Ptičica,1,1,1,17,5,12
El Kapital,"0,5","0,5",1,159,67,104
Jama na Patuhovcu,4,7,1,,45,36
Jama na Kunku,"6,5","4,5",1,32,17,21
Vela Banjska špilja,"1,8","1,5",1,10,,2
Jama na Puharevom,"2,5",2,1,,402,76
Radni ponedjeljak,"0,6","0,6",1,"12,2","2,7","11,7"
Introvert jama,"0,5","0,8",1,"6,5",2,6
Vularna,2,"1,1",1,,15,0
Modra pećina,"7,8",4,1,37,35,0
Jama Golubinka,6,4,1,,16,"11,5"
Jama na Badnju,5,4,1,,13,38
Džungla,6,6,1,"11,5","6,5","8,8"
Blizanci,2,3,1,16,6,14
Jama u Ravnoj Vlaškoj,"0,8","0,4",1,10,"4,6",6
Karabitkin Let,3,5,1,"463,7","189,73","124,56"
"Na silu, na silu",2,1,1,7,3,5
Medina jama,1,"1,8",1,"23,6","8,2","17,6"
Velimirova jama,"1,3","2,5",1,10,6,8
Černična jama,1,"0,5",1,,15,16
Jama iza ćoška,"1,5",8,1,33,12,"29,4"
Ziraldova jama,1,1,1,27,9,19
Ponor na Korita,1,1,1,8,6,5
Jalova sili,5,4,1,"22,5","12,5",20
Polušpilja na izvoru kod Blatine,1,"2,4",1,8,8,"3,2"
Vela spila,,,1,,,
Žuževačka jama,3,"3,5",1,,8,"14,5"
Tugina jama,"0,5","0,5",1,116,18,106
Propuh I,3,"0,5",1,"20,2",10,14
Maloselska špilja,6,"1,5",1,12,11,5
Jama u Dubokoj Dolini,"2,5",2,1,"25,4","11,7",17
Koprivnjača,"1,5",1,1,,22,38
Jama iznad Kravljačice,1,1,1,20,12,"14,6"
Jama bacim pogled,1,3,1,"9,7","5,4","5,3"
Ranogajka,"0,8","0,8",1,"16,1","13,6",1
Pećinovac kod Banki,3,"1,4",1,38,32,6
Open Street špilja,"2,8","1,8",1,5,5,0
Botušića bezdanka,9,6,1,96,74,37
SOV 36,15,5,1,"30,7","8,5","27,6"
Jama pod Crnim vrhom 2,4,"2,5",1,24,18,10
Poklon,2,"1,5",1,"5,2","5,2",0
Dvije banane,22,2,1,120,42,104
Jama Badošnjak,9,4,1,89,21,81
Lipojka,4,"1,5",1,141,96,61
Fat boy,8,4,1,"9,5",8,"9,5"
Novogodišnja jama,"1,5","0,7",1,68,37,17
Svijećnica 1,"3,8","7,6",1,"58,9",23,"35,4"
Špilja na rtu Kurba vela,15,5,1,38,28,8
Izvor špilja  u  Pratrovcu,10,2,1,"161,5",,"1,4"
Kozarica,2,2,1,"47,2",14,33
Ništa,2,3,1,37,29,"11,8"
Rasodnik,7,"3,5",1,23,19,13
Jama povuci - potegni,"0,5","0,35",1,9,5,"5,5"
Špilja Veliko razočaranje,"7,4",11,1,33,30,12
Jama Jarnovi kali,12,4,1,56,22,43
Jama u Predolcu,,,1,,,
Okrugla špilja,12,8,1,31,24,0
Velika peć,6,4,1,,35,0
Lokvica,2,3,1,9,9,2
Kusa II,2,8,1,3010,2880,16
Lovačka jama,2,2,1,30,5,27
Zlo će spavati ovdje,"2,5","3,7",1,"42,9","19,5","33,2"
Utvrda,"0,8","0,5",1,7,7,1
Mrtvo more,12,3,1,22,22,15
Jama kod Škopelićinog dolca,"0,5",1,1,,7,11
Golubnjača,8,5,1,,45,27
Bliznice,37,17,1,,148,82
Dolašnica,4,4,1,,46,14
Bunar jama ispod puta,"0,8",1,1,12,4,11
Jastrebica,"0,5",3,1,,66,0
Racina pećina,5,3,1,17,17,0
Golubinka na Pozdravljanju,10,"3,5",1,130,47,73
Udo vuska,"0,9","0,4",1,"12,3",12,"1,8"
Prkička 3,4,3,1,16,7,13
Jama Golubinica,5,5,1,"27,3","20,4",11
Jama na Zaluke (levi bok),1,2,1,,14,16
Jama na cesti,"1,4","1,2",1,,21,26
Štipaljka na Dugarišću,10,5,1,82,60,33
Jama u Vrbanskoj dulibi,9,7,1,89,52,58
Špilja Minaret,8,7,1,108,49,84
Jama kod križa u Dočićima ,1,1,1,39,10,35
Pobojište,2,2,1,8,5,6
Jama kod pećine Laz,3,2,1,11,6,9
Jama na Sijevcu,2,2,1,,12,29
Vilinska jama,1,1,1,"14,9","10,3","5,8"
Thompson,"2,6","1,1",1,14,6,10
Stonjska peć donja,3,"0,7",1,,"29,5",4
Slakova špilja,2,"2,5",1,,25,0
Krstičevića jama,"1,4","0,4",1,,5,"12,5"
Kaverna 47 u tunelu Sveti Rok,17,18,1,1285,1137,147
Špilja kod Mržnjaka,"0,5","0,5",1,"8,3","6,7","2,9"
Slavenka,"0,5","0,3",1,52,24,11
Jama pročelnika Morisa,7,4,1,"57,5",15,40
Zelena jama ,4,8,1,38,31,18
Kovčići pećina,"2,5","1,2",1,69,63,0
Laganiši,3,10,1,167,126,68
Bajićeva špilja 7,"1,2",1,1,13,9,4
Spilja na rubu ničega,"4,3","2,5",1,56,48,11
Selska 181,"1,2","0,5",1,,36,33
Mučka jama,7,9,1,"12,2",6,10
Zvonečka I,2,"1,2",1,,6,41
Petrovača,8,"4,5",1,17,14,3
Mavita,5,3,1,"9,1","8,7",0
Brana špilja ,2,1,1,,14,5
Laganica,2,1,1,12,6,"11,5"
Špilja s macom,"0,8",1,1,"8,6","8,6",0
Vražja jama,"1,5",2,1,117,52,76
Špilja na Dušicama,7,3,1,104,74,11
5 minuta,"0,5","0,4",1,"20,5","8,5","12,5"
Partizanska špilja u Jelin rogu,5,1,1,7,7,1
Špilja u Ladešić dragi,6,"4,7",1,61,"59,4","1,5"
Bermudski trokut,50,30,1,309,178,89
Sretna zvijezda,"0,7","2,5",1,"34,9","11,8","23,6"
Prvi harmonik,25,4,1,58,36,22
Pijavice u magli,"1,6","1,2",1,"20,9","11,6","14,8"
Škiljanovka,2,"1,4",1,,14,24
Krstačka jama,12,5,1,"50,4",21,39
Vešanska peć,8,13,1,,13,1
11 metara smeća,"0,7","0,7",1,"12,3","9,9","3,3"
Domestika,"1,8",5,1,10,6,6
Plavšića pećina,15,22,1,,22,0
Kune spilja,1,1,1,,11,10
Jama na Kapužnjak,"0,5","0,3",1,"5,4","2,5","5,4"
MR3,"0,5","0,5",1,6,1,7
Ivina jama,1,"0,7",1,,5,19
Jama SDI,15,8,1,,26,41
Slavna krava,4,2,1,38,8,37
Batorinka,4,2,1,8,5,6
Betina Velika,,,1,,,
Podrapuša,"0,3",3,1,6,"5,8",0
Iš,4,7,1,,17,105
Teparina peć,,,1,,,
Kamperica,2,"1,2",1,7,7,"1,5"
Kujina jama,2,1,1,22,18,9
Jelenkova jama,2,5,1,60,16,51
Jama kod Golog Vrha,"0,3","0,5",1,8,4,5
Špiljica u brečama,"1,5","1,5",1,19,14,6
Mala Kozjača,5,3,1,,40,0
Jama u Kreševu,1,1,1,19,11,14
Maica golubinka,,,1,,,
Crna pećina,"5,7","4,2",1,75,66,23
Mala pećina kod Kuneli,3,"0,8",1,5,5,0
Poklončić,"1,5","0,8",1,"5,9","5,8",0
Pećina poli Leskov dol,3,1,1,12,11,"1,8"
Dvi bumbe,"3,3","2,2",1,"15,2","5,5",11
Dubićeva znetva,2,"0,5",1,6,5,1
Poreduša 4,"1,7",1,1,10,"9,5","1,5"
Golubnjača na Ljubovu,,,1,,,
Gazina pećina,11,"6,5",1,33,24,11
Grabovnik,1,"0,4",1,20,16,12
Špilja pod Japaginama,20,6,1,,23,17
Mandelaja,2,4,1,,2641,96
Miško,3,2,1,35,6,31
Ponor u Ponoru,"0,7","0,5",1,"11,8","11,5","2,2"
Gvozdenica,"3,5","2,5",1,,661,41
Staje 4,,,1,,,
Hamham,1,"0,5",1,15,"13,5",5
Špilja na prijevoju Lemeš,"3,5","2,5",1,23,21,8
Suha Mađarica,4,40,1,57,39,18
Golubinjak u Grebaštici,40,20,1,75,75,22
Torine,1,"0,9",1,11,5,10
Jama iznad Dugog polja,1,"1,5",1,,41,54
Kotari,"4,4","1,8",1,,10,20
Ima li leda još,3,4,1,"48,5","13,8","45,2"
Jametina Kovića,"0,5","0,6",1,6,5,3
Jama na grebenu,,,1,,,
Bezdanka u Vlačinama,"0,8","0,5",1,31,12,22
Pećina kod Brletića 2,2,10,1,,19,0
Jama na Starom brigu,1,1,1,7,4,5
Jama u Medinim dragama,18,5,1,116,80,28
Gospodska špilja,1,1,1,3111,2493,55
Suha čizma,1,1,1,23,8,21
Jama kod stanice,"3,5","2,5",1,10,7,8
Lasića pećina,4,6,1,60,43,9
Znetva kod Rajićeve vode,5,3,1,,10,9
Peć pod Krogom ,5,"1,8",1,,11,14
Ivijeva jama ,"1,2",1,1,"44,4","31,3","12,7"
Špilja ispod Drniške gradine,2,4,1,9,9,0
Pećina u Rebre,1,"5,5",1,7,"6,5","1,5"
Poli,1,1,1,13,7,13
Kmegla,"1,5",2,1,335,324,21
Bumbarova špilja,"2,5","1,5",1,,10,0
Aj ti,2,1,1,10,6,10
San,2,1,1,27,8,17
Stradivari,1,7,1,26,"11,5","25,3"
Bučva ,"1,5","2,5",2,"12,2","10,8",0
Jama u Pupnatu ,3,"0,8",1,9,7,6
Povratak,5,7,1,"10,8",7,"9,1"
Jama u Konjikuši gornjoj,1,1,1,,68,140
Šćapica,3,5,1,154,86,85
Ester,15,7,1,"87,5",13,"85,1"
Babina peć,"3,5","2,5",1,,6,5
Klementina 17,,,1,,,
Šandalja I,,,1,,,
Suvenirnica,"0,8","4,2",1,"10,5",9,4
Polupani prozori,4,2,1,"16,5",8,16
Jama kod dječjeg oporavilišta 2 ,4,"2,5",1,,7,10
Nebudu,20,3,1,,"32,5","23,5"
Jama pod Golom,1,"0,8",1,15,9,7
Advent 4,2,"1,7",1,14,4,13
Turski pržun,1,3,1,25,21,14
Špilja u kamenolomu Debeljača,20,10,1,1082,985,67
Jama vepar,"0,5","0,5",1,,7,17
Lukasova golubinka,15,8,1,25,24,13
Trzno,3,4,1,,12,21
Ponor Lokvarke,,,1,,,
ponor Rupećica,10,5,1,,167,37
Mrtolačka peć,27,15,1,67,,21
Lovranski lazići 1,"1,6",1,1,,14,12
Guano Apes,2,4,1,9,9,1
Špilja na Čavića kosi,3,"1,5",1,,6,2
Jaz na Grudi,11,9,1,17,12,12
Grnjača,2,"1,5",1,300,270,27
Reljina pećina,,,1,50,63,20
Elinih 20,"0,5","1,5",1,"9,7","3,7","8,6"
Badanj 1,"1,2","0,7",1,16,10,7
Babalarka,2,2,1,"9,1","8,7",0
Mala pećina u Kličevici,"5,7","3,3",1,,38,0
Bukova rampa,,,1,"14,8","11,3","8,3"
Jamorina,14,4,1,,16,19
Lipa jama na Velikom pogledu,2,3,1,"377,7",174,173
Slovaci JVPM,"0,4","1,5",1,"16,3","7,9","13,3"
Sjever u štrajku,1,1,1,7,7,1
Jama u Polje ,2,8,1,36,30,18
Meandar vječitog srndaća,1,"0,7",1,36,30,"26,5"
Čađina golubinka,,,1,65,40,37
Jama kod suhog bora 2,"1,2","1,2",1,7,6,5
Jelar ponor,6,4,1,1094,1015,45
Mrva,27,12,1,62,31,42
Špilja s križevima,2,2,1,"16,5","16,5","1,1"
Jama za Supinom,"2,5","2,5",1,372,264,82
9 volta,20,15,1,64,37,26
Zlatne godine,10,20,1,140,60,93
Jamljak,"1,2","2,3",1,74,25,45
Jama u Vrloj strani,"1,6",1,1,,12,35
Josipovi jadi,1,2,1,15,10,15
Dubravska pećina,8,"3,5",1,,352,0
Jama pod Malom Visočicom,1,1,1,183,78,119
Žilava krv,"4,7","7,5",1,"59,2","35,4","26,8"
Plitvička špilja,2,"2,5",1,,10,"4,5"
Čmrljina jama,"1,5",2,1,"46,3",14,"35,5"
Jama Bebina kakica,12,"2,7",1,"39,7","10,8","36,5"
Fjalraven,5,2,1,90,63,38
Karlovačka špilja,5,5,1,107,91,21
Uzaludna jama,1,1,1,19,7,17
Staje 5,1,1,1,,"2,1","5,5"
Šijeva jama,"0,5","0,5",1,8,4,8
Jama poviše Kaoca,2,4,1,68,19,54
Jurin pupak,1,"0,6",1,"52,6","13,7","48,5"
Rupe 2,"2,5","4,5",1,,12,4
Navlakuša ,"8,5",3,1,10,"8,6",5
Antićeva špilja,2,"0,7",1,175,169,10
Upad va dolu,1,"0,8",1,,10,12
Igi i žohari,2,2,1,20,16,9
Tradanj,,,1,,,
Jankova špilja,"1,5","1,8",1,,94,"9,4"
Bukvine čerge ,"2,5",8,1,,7,48
Jama na Volti,1,"0,5",1,47,14,41
Jama pod Preslom,1,"0,7",1,33,8,30
Žejava,7,3,1,,12,27
Gverićeva jama,"8,2","3,8",1,,"63,6","77,5"
Jama Ukr 3,1,3,1,,40,48
Šulina jama,3,"0,5",1,56,33,31
Špilja ispod Gradine,"0,5","0,5",1,,11,"0,5"
Špilja Buhara,"4,5",3,1,7,7,0
Šuplji union,3,6,1,53,24,31
Mamet,55,40,1,,157,206
Pokisli pasić,1,"0,5",1,79,37,43
Špilja predpeć,4,"1,8",1,,11,1
Jama Litiotes,"1,1","1,1",1,"17,9","14,5","5,2"
Babina jama,5,"4,5",1,25,"22,6","7,5"
Rokina bezdana,12,23,1,,573,102
Špilja pokraj staze,"1,9","2,4",1,"9,3","8,2","4,5"
Masjupa,4,6,1,,6,"12,4"
Jama iznad prozorčića,4,"1,5",1,"28,6",15,"23,5"
Jama kraj ceste u Plitvičkom klancu,"6,3","6,7",1,67,49,"24,5"
Špilja kod Tržića,,,1,,,
Prvi tečaj,"2,5","3,5",1,,"10,9","20,7"
Signal špilja,"3,2","1,5",1,13,10,8
Grančica 2,3,2,1,"78,4","18,1","67,8"
Jama u Maloj gori,12,6,1,"19,2",2,11
Špilja na Trovrhu,,,1,55,55,8
Jama u Brajde,"0,7","0,85",1,26,"11,5","16,5"
Otrpana jama s Nijemcima,"0,7","0,4",1,12,4,11
Školjka,,,1,,,
Ledenica u Tijesnom kod Vrata 2,7,3,1,164,30,128
Kaverna 183_Tunel Konavosko polje- more,1,"0,6",1,99,87,0
Jama iza tenkova,2,"2,5",1,36,6,36
Pećina Ive Marina,4,2,1,,15,8
Velika kaverna u tunelu Blatsko polje - Bristva,4,2,1,39,10,32
Špilja kod bare Vojnikuše,9,"2,2",1,,176,7
Jama Klizulja,11,2,1,,47,55
Jeletina,13,3,1,19,18,6
Malinka,4,12,1,"63,1",34,48
Jama pod Orljakom,15,10,1,,90,23
Mala peć,"3,3",2,1,16,16,0
Gradica,"1,4","0,8",1,"5,1","4,8","1,5"
Poluspilja na Gradni,5,1,1,6,6,0
Jolina jama,"1,5","1,2",1,29,21,10
Meduza,,,1,,,
Jamica na sedlu,"1,2","1,5",1,,"15,3","12,1"
MKG 3,3,10,1,,9,"21,5"
Jama pod lišajem,"1,5",1,1,"17,6",8,"8,7"
Jamar,8,"3,5",1,131,85,100
Mala Kusača,2,"1,6",1,288,280,11
Jama zlog vrtnog patuljka ,1,"1,5",1,15,"5,5","13,5"
Jama u Lukama,8,2,1,,15,15
Ribarka,"0,8","0,3",1,28,9,26
Staje 13,,,1,,,
Keine Angst,4,"3,5",1,"36,9",13,"23,3"
Jama Krokz,"1,5",7,1,,20,29
Hodak pećina,2,"1,5",1,"44,5","39,5",0
Pik,4,"2,5",1,,6,"34,4"
Indiana Giovanis,8,3,1,,16,36
Mirkova jama,"0,6",1,1,"126,8",100,"34,8"
Pećina Nera,"6,3",3,1,12,12,"0,6"
Golubinka kod Rudela,6,"3,5",1,21,8,21
Šesnaest,12,3,1,,18,31
Velika Kost,6,2,1,39,21,21
Opaljena jama pod Opaljenim vrškom,2,1,1,120,65,55
Golubnjača,4,15,1,,40,40
Dekontaminacija,1,4,1,33,18,"18,5"
Morska špilja u uvali Javorna,6,"2,2",1,"16,2","16,2","2,8"
Špilja u Gaju,,,1,,,
Vitkovača,"0,5",1,1,"14,5","3,5",11
Roze rukavice,1,3,1,"5,5","5,5","0,7"
B10,2,2,1,83,"18,3","80,5"
Ratac,7,6,1,8,8,0
Dankov ponor,2,6,1,"256,7",195,"28,67"
Pećina u uvali Ovča,"2,5",1,1,14,14,0
Druga jama u vrtači uz cestu,1,1,1,6,1,6
Upov,3,2,1,101,41,72
Brestovica,4,6,1,"46,7","9,5","39,5"
Jama Njuškica,"1,2","2,5",1,5,13,10
Golubinka,27,16,1,134,93,88
Jama pod suhim drvetom,3,2,1,,"2,5",15
Grešna jama,10,5,1,28,19,22
Pećina Loza 2,2,2,1,70,38,12
Jama pod Kaličakom,4,2,1,"52,6","28,8",39
Usko grlo dva daždevnjaka,"1,5","0,7",1,"28,4","7,3",26
Baštijanova jama,3,10,1,125,100,57
Klementina 21,,,1,,,
Advent 1,2,"0,7",1,9,5,"6,5"
Špilja spomenik,"3,4",3,1,"14,6",12,"8,3"
Radosni puž,"0,9","0,4",1,"9,4","1,6","9,2"
Litno,2,"0,5",1,,520,6
Kandža,2,5,1,"13,8","13,3",0
Medvjeđa klet,"5,6",1,1,31,"30,5","2,4"
Kasna jama,5,2,1,86,"41,4",62
Toccata e Fuga,3,6,1,27,19,16
Jama iznad Čatrnje,,,1,,,
Sklonišna pećina,"0,5",1,1,,17,10
Jama kod planinarskog doma na Hahlićima,2,"2,5",1,92,"12,5","85,5"
Bajkovita,7,"3,5",1,10,10,0
Snježni škaf,5,4,1,16,8,12
Kleščina,7,3,1,20,16,0
Jama u Velim Sapcima 3 ,1,"0,8",1,,6,14
Brlog 2,2,3,1,11,"10,4","1,7"
"Špilja di je upala krava, Runovići","0,5","0,5",1,18,16,2
Dekića jama,,,1,,,
Jama ispod starog puta,6,4,1,,8,11
Lušina jama,2,3,1,22,16,12
Krči,1,1,1,27,5,25
Orlovo oko,5,2,1,42,19,32
Grohotna ledenica,4,6,1,20,8,16
Špilja u kamenolomu Tounj,1,"0,6",1,8639,8487,47
Kave,6,4,1,77,68,5
Špilja na Repuševcu,1,2,1,17,11,6
Kaverna u Blažićima,1,"1,5",1,,8,"18,2"
Kajgana,6,20,1,,116,79
Jama na Mahencu 3,2,2,1,,7,12
Mala Mekinjača,"1,5",6,1,10,10,0
Fructal,"1,5",9,1,"18,3","16,8",0
Marasova pećina,"1,5","2,5",1,25,21,9
Rakovice 1,10,15,1,99,61,69
Google-ka,35,20,1,54,31,36
Vrelce velika,4,4,1,,44,4
Jama na Zaluki,10,5,1,,61,57
Pećina u Brini istočna,4,2,1,27,26,3
Patnja hladnog Werthera,1,2,1,"25,5","18,3","15,2"
Radina pećina,2,4,1,"45,3","45,3","3,3"
Pod balkonom 2,"1,7","2,3",1,"6,4","6,3",0
Tri u dva,2,4,1,20,9,20
Jama na Melnici,2,"1,5",1,29,4,"28,6"
Špilja poviše Malih Krčevina,"3,3","3,7",1,,14,4
Paveća špilja,,,1,,,
Strguljin grad 5,1,2,1,,"4,6","47,8"
Pegula,"1,5",3,1,105,81,38
Jama s pogledom,1,"1,5",1,"21,2","5,5","17,5"
Števanjica špilja,3,"2,2",1,17,15,0
Pećinica,"1,6",1,1,22,22,3
Jama kod radara,5,4,1,"16,1","6,4","10,6"
Špilja iznad vodovoda,2,"5,5",1,"8,7","7,1",0
Tri prozora,"7,5","3,5",1,34,25,12
Špajza Kod vode,5,4,1,41,10,38
Žedna jama,"1,2",2,1,13,4,7
Grancina,"0,5",1,1,59,55,9
Smaugova,"0,6",3,1,17,7,15
Tužna jama,1,1,1,27,8,23
Tučepska Vilenjača,6,"0,8",1,,28,35
Guidova bezdanka,5,8,1,247,52,95
Čudinka,13,18,1,195,41,182
Beneton,1,1,1,13,9,"9,5"
Pčelina pećina,20,15,1,,256,62
Zvekača,"0,5",1,1,128,76,79
Jama pod Radinkom,"1,4","0,8",1,"24,4",15,"10,4"
Perinka,8,6,1,61,41,35
Šimrakovica mala,"0,6","1,1",1,"7,8","4,5",4
Brižna salamandra,7,3,1,,14,63
Ventilatorka,"0,4","0,5",1,,5,1
Rupa u travi,3,2,1,20,12,11
KAS,"2,4",,1,42,27,22
Gornji ćorak,13,3,1,21,14,8
Jama na Visokoj,,,1,,,
Dupla jama nad Črmušinim dolom,3,3,1,,13,"17,5"
Golubinka u Putičanjima,4,6,1,30,19,15
Pećina navrh Mlinarske drage,2,2,1,,22,0
Sakati sniješko,"2,5",1,1,33,10,31
Duhanska jama s papirićima,"3,5",3,1,16,15,7
Rupica na 666 m.n.v.,"0,5","0,5",1,34,25,13
Golubnjača u Devčićima,10,5,1,,10,37
Prišćica,1,3,1,,25,"37,5"
Mali Štumbur,2,2,1,29,22,10
Jama pod križem 2,4,"1,5",1,16,6,15
Špilja u suhoj dolini,"3,1","1,9",1,,"24,8",8
Kobiljak 1,"0,3","0,7",1,10,"5,5",8
Pećina nasuprot drniške gradine,"1,2","1,2",1,10,9,0
