sample ID;locality;country;Collection date;eventDate;Number and gender;individualCount;Family;Genus;species;scientific name;Z;decimalLatitude;decimalLongitude;Troglomorphy;habitat;joint coordinates;unique species count;air temperature;deepest air temperature;média temperature
2149;Špilja na Mrždolcu;Croatia;5.4.2006.;2006-04-05;1 juv;1;Linyphiidae;Typhlonyphia;sp. 1;Typhlonyphia sp. 1;461;43 405 319;17 014 811;Tb;deep cave;4 340 531 917 014 810;3;;;7,5
2151;Muci?a ledenica;Croatia;24.5.2004.;2004-05-24;1f;1;Linyphiidae;Troglohyphantes;sp. 8;Troglohyphantes sp. 8;1250;4 335 632;17 051 544;Tf;deep cave;433 563 217 051 544;3;;0,8;0,8
2153;Kukor;Croatia;26.4.2002.;2002-04-26;2f juv;2;Leptonetidae;Sulcia;sp.;Sulcia sp.;425;43 355 609;16 991 707;;;4 335 560 916 991 700;10;;;15,4
2154;Jama u Bratušu;Croatia;27.10.2006.;2006-10-27;1m;1;Linyphiidae;Centromerus;raridentatus sp.n.;Centromerus raridentatus sp.n.;25;43 328 376;16 979 405;;;4 332 837 616 979 400;4;;12,5;13,15
2155;Krjava 2;Croatia;27.10.2006.;2006-10-27;3f;3;Linyphiidae;Centromerus;cavernarum;Centromerus cavernarum;903;43 329 431;17 027 011;Tf;deep cave;4 332 943 117 027 010;3;;;7,425
2156;Stonjska pe? gornja;Croatia;27.10.2003.;2003-10-27;1f, 1 juv;2;Linyphiidae;Centromerus;cavernarum;Centromerus cavernarum;625;43 315 167;171 304;Tf;deep cave;43 315 167 171 304;4;;;
2157;Jama iznad Prozor?i?a;Croatia;28.10.2003.;2003-10-28;1m, 1 juv m;2;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
2158;Jama iznad Prozor?i?a;Croatia;24.3.2004.;2004-03-24;1 m;1;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
2159;Mala jama u stijenama;Croatia;20.3.2003.;2003-03-20;1m, 1 juv;2;Linyphiidae;Centromerus;cavernarum;Centromerus cavernarum;1115;43 365 579;17 027 668;Tf;deep cave;4 336 557 917 027 660;3;;9,3;9,3
2161;Jama iznad Prozor?i?a;Croatia;28.10.2003.;2003-10-28;2m, 1f, 1 juv m;4;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
2162;Jama iznad Prozor?i?a;Croatia;1.4.2006.;2006-04-01;1f;1;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
2163;Jama iznad Prozor?i?a;Croatia;1.4.2006.;2006-04-01;1f;1;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
2164;Jama iznad Prozor?i?a;Croatia;28.10.2003.;2003-10-28;1f;1;Linyphiidae;Centromerus;silvicola;Centromerus silvicola;617;4 338 381;16 932 036;tx;deep cave;433 838 116 932 036;5;;12,5;8,9
